entityId,parentId,name,coordinates
29475281,27563222,Sri Lanka,"{'latitude': 7.6628410527, 'longitude': 80.6850542591}"
29475283,27563222,Bhutan,"{'latitude': 27.4192409564, 'longitude': 90.4271041804}"
29475284,27563222,India,"{'latitude': 22.8576456589, 'longitude': 79.6206722808}"
29475313,27563222,Maldives,"{'latitude': 4.4154595301, 'longitude': 73.172340374}"
29475315,27563222,Myanmar,"{'latitude': 20.964082493196447, 'longitude': 96.5186483431809}"
29475316,27563222,Uzbekistan,"{'latitude': 41.7519517021, 'longitude': 63.1632074967}"
29475317,27563222,Kazakhstan,"{'latitude': 48.1541864385, 'longitude': 67.2345542895}"
29475318,27563222,Kyrgyzstan,"{'latitude': 41.4620104304, 'longitude': 74.5505148112}"
29475319,27563222,Vietnam,"{'latitude': 16.612651416, 'longitude': 106.3323283034}"
29475320,27563222,Thailand,"{'latitude': 15.0184668069, 'longitude': 100.9954597773}"
29475321,27563222,Indonesia,"{'latitude': -2.263685612, 'longitude': 117.3901379167}"
29475322,27563222,Laos,"{'latitude': 18.4951495884, 'longitude': 103.7673193533}"
29475324,27563222,Philippines,"{'latitude': 11.6380745384, 'longitude': 122.8292538755}"
29475325,27563222,Malaysia,"{'latitude': 3.8149095478, 'longitude': 109.7527907455}"
29475326,27563222,China,"{'latitude': 36.53140750323734, 'longitude': 103.91375723914877}"
29475328,27563222,Cambodia,"{'latitude': 12.6960225182, 'longitude': 104.9067793317}"
29475330,27563222,Japan,"{'latitude': 37.31327272144959, 'longitude': 137.6721328885855}"
29475332,27563222,Singapore,"{'latitude': 1.336807652, 'longitude': 103.8248208618}"
29475333,27563222,Timor-Leste,"{'latitude': -8.8140340166, 'longitude': 125.863220227}"
29475334,27563221,Russia,"{'latitude': 62.03628096751886, 'longitude': 96.62490346971676}"
29475335,27563222,Mongolia,"{'latitude': 46.836418441, 'longitude': 103.0670870878}"
29475336,27563223,Australia,"{'latitude': -25.7123066759, 'longitude': 134.4995834211}"
29475337,27563223,Papua New Guinea,"{'latitude': -6.4967565804, 'longitude': 145.456577482}"
29475338,27563223,Solomon Islands,"{'latitude': -8.7678963274, 'longitude': 159.4421733821}"
29475339,27563223,Tuvalu,"{'latitude': -8.225245937, 'longitude': 178.7238575116}"
29475340,27563223,Nauru,"{'latitude': -0.5283451051, 'longitude': 166.9347239971}"
29475341,27563223,Vanuatu,"{'latitude': -16.2026981915, 'longitude': 167.7289688756}"
29475342,27563223,New Zealand,"{'latitude': -41.760114156103015, 'longitude': 170.3537545294575}"
29475343,27563223,Fiji,"{'latitude': -17.4083824049, 'longitude': 163.5729098687}"
29475344,27563220,Libya,"{'latitude': 27.0455434454, 'longitude': 18.0321999406}"
29475346,27563220,Senegal,"{'latitude': 14.359973474, 'longitude': -14.4807324063}"
29475349,27563221,Portugal,"{'latitude': 39.5589102406, 'longitude': -8.6203657658}"
29475350,27563220,Liberia,"{'latitude': 6.4400866405, 'longitude': -9.3104553855}"
29475352,27563220,Ghana,"{'latitude': 7.9592011082, 'longitude': -1.2078909539}"
29475353,27563220,Equatorial Guinea,"{'latitude': 1.7161426548, 'longitude': 10.3040735079}"
29475354,27563220,Nigeria,"{'latitude': 9.5829163129, 'longitude': 8.0924280053}"
29475355,27563220,Burkina Faso,"{'latitude': 12.2855048768, 'longitude': -1.7442941044}"
29475358,27563220,Mauritania,"{'latitude': 20.2649709909, 'longitude': -10.3455219235}"
29475359,27563220,Benin,"{'latitude': 9.6533385659, 'longitude': 2.3396796389}"
29475360,27563220,Gabon,"{'latitude': -0.6209509663, 'longitude': 11.7695387581}"
29475361,27563220,Sierra Leone,"{'latitude': 8.5485663212, 'longitude': -11.8113658152}"
29475363,27563220,Gambia,"{'latitude': 13.4438427057, 'longitude': -15.4392986776}"
29475364,27563220,Guinea,"{'latitude': 10.4334758402, 'longitude': -10.95235831}"
29475365,27563220,Chad,"{'latitude': 15.3648855413, 'longitude': 18.6666177703}"
29475366,27563220,Niger,"{'latitude': 17.4244748372, 'longitude': 9.4014727294}"
29475367,27563220,Mali,"{'latitude': 17.3578890728, 'longitude': -3.526575855}"
29475370,27563220,Morocco,"{'latitude': 31.8537355306, 'longitude': -6.28022404}"
29475371,27563221,Malta,"{'latitude': 35.9267363037, 'longitude': 14.3984298727}"
29475372,27563220,Algeria,"{'latitude': 28.1662365217, 'longitude': 2.6782674575}"
29475373,27563221,Denmark,"{'latitude': 55.9318101323, 'longitude': 10.0947171398}"
29475374,27563221,Iceland,"{'latitude': 65.0214175216, 'longitude': -18.7127229735}"
29475375,27563221,United Kingdom,"{'latitude': 54.2532367516, 'longitude': -2.9767221462}"
29475376,27563221,Switzerland,"{'latitude': 46.81021982238213, 'longitude': 8.241289229298554}"
29475377,27563221,Sweden,"{'latitude': 62.6911503511, 'longitude': 16.7801817}"
